,Unnamed: 0,address,description,detail,lat,lng,name,rating,total_review
0,2,"1000 5th Ave, New York City, NY 10028-0198","At New York City's most visited museum and attraction, you will experience over 5,000 years of art from around the world. The Met is for anyone as a source of inspiration, insight and understanding. You can learn, escape, play, dream, discover, connect.    ",Recommended length of visit: 2-3 hours   Fee: Yes,40.77943,-73.96324,The Metropolitan Museum of Art,5.0,38595
1,4,"New York City, NY",-999,-999,40.748329999999996,-73.98568,Manhattan Skyline,5.0,15397
2,3,"420 W 14th St, Floor 2, New York City, NY 10014-1064","Ground Zero Museum Workshop: Images & Artifacts from the 9/11 Recovery, in the Meatpacking District near Chelsea Market and the High Line Park. A 5-Star Rated Tour. Want to feel what it was like to be with FDNY Firefighters on the front lines after the 9/11 attacks? Want to educate your kids about this tough subject in a gentle and non-threatening way? Experience the Stunning Images of Official Ground Zero Photographer Gary Marlon Suson. ""Rare Photos"" (New York Times) are displayed, some in lifelike 3D installations, as well as artifacts & rare video. Rated in Trip Advisor's ""Top 25 Museums in the USA"" for 2013 and 2014 and in Trip Advisor's ""Hall of Fame."" Presented in BOSE Surround Sound Audio. 100 Stories. Praised by parents as a ""safe"" introduction to 9/11. Guests are allowed to pick up rare World Trade Center artifacts. Daily 1.5-hour audio tours from 11am-3pm Wednesday through Sunday include a tour guide and the self-guided audio narration in Dolby Stereo, in English, Italian, French and Spanish. Proceeds shared with 9/11 and FDNY Charity. Walk-ins welcome. CLOSED MONDAY and TUESDAY. ""Incredible Images"" says Fox News Channel. Known worldwide as the ""Biggest LITTLE Museum in New York."" The ""first stop"" before heading to visit Ground Zero. On display are ""The Frozen Clock"" - ""The Bible Page"" - artifacts such as the largest piece of World Trade window glass in existence and many more well-known images featured on FOX NEWS, BBC and CNN. Small gift area sells books and posters. No graphic footage nor images from morning of 9/11 are shown at GZMW. Tastefully and realistically presented. This award-winning tour is a wonderful prequel to your visit to the National 9/11 Memorial + Museum. Reservations accepted. Handicapped accessible. New 2016 Fall Hours: Closed Monday + Tuesday. Open Wednesday thru Sunday 11am-3pm.    ",Recommended length of visit: 1-2 hours,40.742065000000004,-74.00253000000001,Ground Zero Museum Workshop,5.0,2619
3,0,"59th to 110th Street, Manhattan Borough, from Central Park West to 5th Avenue, New York City, NY 10022","For more than 150 years, visitors have flocked to Central Park's 843 green acres in the heart of Manhattan. Since 1980, the Park has been managed by the Central Park Conservancy, in partnership with the public. Central Park is open 6 am to 1 am daily. Visit the official website of Central Park to learn more about Park happenings and activities and to learn how you to help Central Park!    ",Recommended length of visit: More than 3 hours   Fee: No,40.783004999999996,-73.96536,Central Park,4.5,86871
4,1,"180 Greenwich St, World Trade Center, New York City, NY 10007-0089","The National September 11 Memorial & Museum is a place of remembrance honoring those who perished in the terrorist attacks of September 11, 2001 and February 26, 1993. The 9/11 Memorial consists of two massive pools set within the original footprints of the Twin Towers with 30-foot waterfalls cascading down their sides. The nearly 3,000 names of the men, women, and children killed in the attacks are inscribed into bronze parapets surrounding the twin Memorial pools. The 9/11 Memorial is open daily from 7:30 a.m. - 9:00 p.m. and is free to the public. The 9/11 Memorial Museum displays monumental artifacts linked to the events of 9/11, while presenting intimate stories of loss, compassion, reckoning and recovery that are central to telling the story of the 2001 and 1993 attacks and the aftermath. It also explores the global impact of 9/11 and its continuing significance. The 9/11 Memorial Museum is open Sun - Thu, 9:00 a.m. - 8:00 p.m., last entry at 6:00 p.m. and Fri and Sat, 9:00 a.m. - 9:00 p.m., last entry at 7:00 p.m. Tickets are required.Open Daily.    ",Recommended length of visit: 1-2 hours   Fee: No,40.71151,-74.01332,The National 9/11 Memorial & Museum,4.5,57149
5,3,"30 Rockefeller Center, New York City, NY","Top of the Rock Observation Deck, the newly opened, 3-tiered observation deck on the 67th, 69th and 70th floors of 30 Rockefeller Plaza, is New York City's most amazing attraction! The unforgettable experience includes a panoramic 360-degree, unobstructed view from the 70th floor observatory, 850 feet in the sky! Hours of Operation: 8:00 AM - Midnight, last elevator goes up at 11:00 PM.Main entrance is located on 50th Street between 5th & 6th Avenues.    ",Fee: Yes,40.758884,-73.979385,Top of the Rock Observation Deck,4.5,54110
6,8,"350 Fifth Avenue, Between 33rd and 34th Streets, New York City, NY 10118-0110","The world-famous Empire State Building offers unobstructed panoramic views of New York City and beyond from 8 a.m. until 2 a.m. daily. Our 86th and 102nd floor Observation Decks offer the two highest vantage points in New York City. Soaring 1,454 feet above Midtown Manhattan from base to antenna, the Empire State Building is the World's Most Famous Office Building. Named America's favorite building in a poll conducted by the American Institute of Architects, the Empire State Building is one of New York City's top tourist destinations. On a clear day, you can see up to five states from our Observation Decks - New York, New Jersey, Pennsylvania, Connecticut and Massachusetts. Guests can enjoy our outdoor viewing area on our open-air 86th floor Observatory, or our indoor climate-controlled viewing areas on the 86th and 102nd floors. We recently launched our new Multimedia Experience as well, which guides visitors through the extraordinary exhibits and breathtaking views with additional depth on the building's history in eight languages - including English, Spanish, French, Italian, Mandarin, Portuguese, Japanese and Korean. The Empire State Building aims to provide entertainment for guests of all ages. Bringing children? Have their picture taken with King Kong himself on our 80th floor from Thursdays through Mondays (12 p.m. until 9 p.m.). Celebrating a first date or an anniversary? Enjoy romantic tunes from our saxophone player from 9 p.m. until midnight every Thursday through Saturday night. Tickets can be purchased through our website. Our celebrated tower lights are often illuminated to commemorate holidays, events and special causes. In the Fall of 2012, we upgraded our tower lighting system from floodlights to one-of-a-kind LED tower lights. The state-of-the-art system allows customized lighting capabilities from a palette of over 16 million colors! To watch some of our recent light shows, visit our YouTube page. Reigning as the world's tallest building from 1931 to 1970, the Empire State Building is known for its distinct Art Deco style. Construction of the renowned icon only took one year and 45 days, and logged more than 7 million man hours. This is the fastest construction to date for a project of its scale. Additionally, from classics like An Affair to Remember and Sleepless in Seattle to recent hits such as Oblivion and Elf, our place in pop culture has been solidified since our early days. In fact, over 200 movies and TV shows have featured the Empire State Building in them!    ",Recommended length of visit: 1-2 hours   Fee: Yes,40.748135,-73.9848,Empire State Building,4.5,48946
7,5,"New York City, NY 10014","The High Line is an elevated railway transformed into a public park on Manhattan's West Side. The park features lush horticulture, artworks, seasonal food vendors, community programming, and unique views of the Hudson River and New York City skyline. The High Line runs between Gansevoort Street to West 34th Street, between 10th and 12th Avenues.Friends of the High Line raises 98% of the High LineÛªs annual budget. Owned by the City of New York, the High Line is a public park maintained, operated, and programmed by Friends of the High Line, in partnership with the New York City Department of Parks & Recreation.    ",Recommended length of visit: 2-3 hours   Fee: No,40.739437,-74.0083,The High Line,4.5,39757
8,16,"Broadway, New York City, NY 10036","Central area in NYC that has many shops, restaurants, office buildings and flashing billboards around it.    ",Recommended length of visit: 1-2 hours,40.75889,-73.98512,Times Square,4.5,28260
9,7,"89 E 42nd Street, New York City, NY 10017-5503","Grand Central Terminal is the most extraordinary public space in New York City. Opened to the public in 1913, this historic train terminal is a world-famous landmark in Midtown. Its rich history is a story of immense wealth and great engineering. Grand Central is one of the busiest train stations in the world, with approximately 750,000 visitors every day. It is the home of Metro-North Railroad, a subway station, iconic restaurants, shops, and the world's most alluring Apple Store. Some of the highlights to see along your tour of Grand Central include the opal-faced clock, valued at $20 million, above the Information Booth, the Largest Tiffany Glass Clock in the World below the 48-foot, 1500-ton Transportation statue overlooking 42nd Street at Park Avenue, and the mystifying acoustics of the Whispering Gallery in front of the Oyster Bar and Restaurant. Audio and guided tours are available for those with a passion for history. More information regarding tours and ways to plan your visit can be found on the Grand Central Terminal website.    ",Recommended length of visit: 1-2 hours,40.752728000000005,-73.97723,Grand Central Terminal,4.5,26290
10,9,"Liberty Island, New York City, NY 10004","The Statue of Liberty Enlightening the World was a gift of friendship from the people of France to the people of the United States and is a universal symbol of freedom and democracy. The Statue of Liberty was dedicated on October 28, 1886, designated as a National Monument in 1924 and restored for her centennial on July 4, 1986.    ",Recommended length of visit: More than 3 hours   Fee: Yes,40.68976,-74.045135,Statue of Liberty,4.5,24861
11,6,"New York City, NY",Description: The most famous theater district in the world.,-999,40.75797,-73.985535,Broadway,4.5,21593
12,13,"45 Rockefeller Plaza, New York City, NY 10111-0100","Rockefeller Center is a national historic landmark in the heart of Midtown Manhattan. Home to Top of the Rock Observation Deck, NBC Studios, Radio City Music Hall and much more. Shop, dine and explore at one of New York's most inspiring locations.    ",Recommended length of visit: 1-2 hours   Fee: No,40.758736,-73.97867600000001,Rockefeller Center,4.5,14998
13,8,"79th Street and Central Park West, New York City, NY 10024","Interactive, modernized exhibits and an IMAX theater help bring this museum, dedicated to understanding the past, into the 21st century.    ",Recommended length of visit: More than 3 hours   Fee: Yes,40.781321999999996,-73.97399,American Museum of Natural History,4.5,14961
14,10,"1 World Trade Center, One World Trade Center, New York City, NY 10007-0089","Start at the top of the tallest building in the Western Hemisphere, where you can truly feel the city's invincible spirit. SEE FOREVERã¢.    ",Recommended length of visit: 1-2 hours,40.71324,-74.0132,One World Observatory - World Trade Center,4.5,12409
15,7,"11 West 53rd Street, New York City, NY 10019","Located in the heart of midtown Manhattan, The Museum of Modern Art is home to the world's greatest collection of modern and contemporary art. The collection includes Vincent van Gogh's ""The Starry Night"" and Andy Warhol's ""Gold Marilyn Monroe,"" along with works by Jackson Pollock, Jasper Johns, Cindy Sherman, Elizabeth Murray, and many other great artists of our time. MoMA's collection also showcases photography, film, architecture, design, media, and performance art. Visitors can also enjoy shopping and fine and casual dining options.    ",Recommended length of visit: 2-3 hours   Fee: Yes,40.761433000000004,-73.97762,The Museum of Modern Art (MoMA),4.5,11374
16,5,"476 5th Ave New York, NY 10018, New York City, NY 10018","Two marble lions mark the entrance to this Beaux Arts masterpiece, a National Historic Landmark containing more than six million books.     ",-999,40.753094,-73.981705,New York Public Library,4.5,8979
17,11,"460 Madison Avenue, New York City, NY 10022","Enormous 13th-century-style Gothic church on Madison Avenue, with a seating capacity of 2,200, rose window reaching 26 feet across, pipe organ with more than 7,380 pipes and the graceful twin spires that reach 330 feet into the sky.    ",-999,40.758778,-73.97694,St. Patrick's Cathedral,4.5,7252
18,2,"1 E. 70th St., Fifth Ave., New York City, NY 10021-4994","Henry Frick once resided in this 18th-century French-style mansion; now its the home of his impressive art collection, which includes Titian, Vermeer, Rembrandt, El Greco, Goya, Whistler and more.     ",-999,40.77129,-73.9673,Frick Collection,4.5,6984
19,9,"12th Avenue & 46th Street, Pier 86, New York City, NY 10036","The Intrepid Sea, Air & Space Museum is a nonprofit, educational institution featuring the legendary aircraft carrier Intrepid, the space shuttle Enterprise, the world's fastest jets and a guided missile submarine. Through exhibitions, educational programming and the foremost collection of technologically groundbreaking aircraft and vessels, visitors of all ages and abilities are taken on an interactive journey through history to learn about American innovation and bravery.Â  Welcoming over one million visitors annually, the Museum includes the Space Shuttle Pavilion, home to Enterprise, the world's first space shuttle that paved the way for America's successful Space Shuttle Program. On display are more than two dozen authentically restored aircraft, including the Lockheed A-12 Blackbird, the world's fastest military jet and spy plane, and the British Airways Concorde, the fastest commercial aircraft to ever cross the Atlantic Ocean. The Museum also includes the submarine Growler, the only American diesel-powered strategic missile submarine open to the public; the Exploreum Interactive Hall, a fully interactive exhibit space; an 18,000 sq. ft. education center; and Pier 86, a publicly accessible pier that is part of the Hudson River Park Trust.Â  Download our free iPhone app, Mission Intrepid: Explore Enterprise, from the App Store today, and enhance your experience in the Space Shuttle Pavilion!The mission of the Intrepid Sea, Air & Space Museum is to promote the awareness and understanding of history, science and service through its collections, exhibitions and programming in order to honor our heroes, educate the public and inspire our youth.    ",Recommended length of visit: More than 3 hours,40.764526000000004,-73.99961,"Intrepid Sea, Air & Space Museum",4.5,6049
20,15,"4 Penn Plaza, New York City, NY 10121-0078",Description: Tours run daily beginning at 9:30 AM.,-999,40.750504,-73.99344,Madison Square Garden,4.5,6043
21,12,"1260 6th Avenue (Avenue of the Americas), Between 50th and 51st Streets, New York City, NY 10020",Description: Tours run daily starting at 9:30 AM,Recommended length of visit: 2-3 hours,40.76,-73.98033000000001,Radio City Music Hall,4.5,5976
22,17,"New York City, NY",Famous street offering some of the most expensive and fashionable shops in the city.    ,-999,40.756104,-73.98245,Fifth Avenue,4.5,5740
23,6,"103 Orchard Street, Lower East Side, New York City, NY 10002","The Tenement Museum preserves the history of immigration through the personal accounts of those who built lives in the Lower East Side. Visitors can view restored apartments from the 19th and 20th centuries, walk the historic neighborhood, and interact with residents to learn the stories of generations of immigrants who helped shape the American experience.The museum is available by guided tour only. Each tour focuses on a specific theme and takes visitors to a different area of the building or neighborhood.    ",Recommended length of visit: 1-2 hours,40.71881,-73.99001,Tenement Museum,4.5,4603
24,24,"New York Harbor, New York City, NY 10017",Visitors can retrace the steps of their ancestors at this famous landing point that welcomed millions of immigrants to the United States.    ,-999,40.6989,-74.03971999999999,Ellis Island,4.5,4309
25,14,"99 Margaret Corbin Drive, Fort Tryon Park, New York City, NY 10040","Branch of the Metropolitan Museum of Art that was constructed out of sections of French medieval monasteries, offers an extensive collection of statues, paintings, stained glass windows and tapestries.    ",Recommended length of visit: More than 3 hours   Fee: Yes,40.864834,-73.932014,The Met Cloisters,4.5,3969
26,21,"209 Broadway, b/t Fulton Street & Vesey Street, New York City, NY 10022",".   The chapel is closed for restoration until work is completed in the fall. The churchyard will remain open. St. Paul's Chapel is part of Trinity Wall Street, an Episcopal parish that has been a part of New York City since 1697. The parish is deeply rooted in the cityÛªs and the nationÛªs history. Established during the British occupation of New York and recognized by royal charter, Trinity was the first Anglican Church (which followed the services of the Church of England and included the King or Queen in its prayers) in Manhattan.åÊ St. Paul's Chapel was founded in 1766 as a chapel-of-ease at Broadway and Fulton Street. George Washington prayed there after his inauguration as President in 1789. Located just across the street from the World Trade Center, St. PaulÛªs played an important role in hosting recovery workers after the attacks of September 11, 2001.    ",Recommended length of visit: <1 hour,40.711773,-74.00939,St. Paul's Chapel,4.5,2955
27,23,"South of Houston Street, New York City, NY","Description: Fashionable neighborhood with boutiques, art and restaurants.",-999,40.724037,-73.99788000000001,SoHo,4.5,2835
28,18,"14th Street and West of Broadway, New York City, NY","Like a small town within Manhattan, the Village has narrow tree-lined streets and brick townhouses.    ",-999,40.73028,-73.99819000000001,Greenwich Village,4.5,2658
29,25,"West 4th Street, Greenwich Village, New York City, NY 10001","A 9.75-acre city park in Greenwich Village, characterized by its large, central fountain, and known as a major center of community activity for the neighborhood residents.    ",-999,40.730846,-73.99752,Washington Square Park,4.5,2287
30,12,"99 Gansevoort Street, New York City, NY 10014","The Whitney Museum of American Art, founded in 1930 by the artist and philanthropist Gertrude Vanderbilt Whitney, houses the foremost collection of American art from the twentieth and twenty-first centuries. Mrs. Whitney, an early and ardent supporter of modern American art, nurtured groundbreaking artists at a time when audiences were still largely preoccupied with the Old Masters. From her vision arose the Whitney Museum of American Art, which has been championing the most innovative art of the United States for more than eighty years. The core of the Whitney's mission is to collect, preserve, interpret, and exhibit American art of our time and serve a wide variety of audiences in celebration of the complexity and diversity of art and culture in the United States. Through this mission and a steadfast commitment to artists themselves, the Whitney has long been a powerful force in support of modern and contemporary art and continues to help define what is innovative and influential in American art today.    ",Recommended length of visit: 1-2 hours,40.73942,-74.00842,Whitney Museum of American Art,4.5,2090
31,30,"175 Fifth Ave., At 23rd St., New York City, NY 10010","This Daniel Burnham design got its moniker because, as you might guess, it resembles an iron.    ",-999,40.741054999999996,-73.98971,Flatiron Building,4.5,2081
32,27,"405 Lexington and 42nd St., New York City, NY 10174",This Art Deco masterpiece is actually no longer the property of the auto manufacturer.    ,-999,40.75162,-73.9755,Chrysler Building,4.5,2075
33,13,"Battery Park and Liberty Island, New York City, NY 10017",-999,-999,40.699055,-74.03969000000001,Ellis Island Immigration Museum,4.5,1950
34,20,"225 Madison Avenue at 36th Street, New York City, NY 10016","Just a short walk from Grand Central and Penn Station, the Morgan is a major exhibition venue for fine art, literature, and music, one of New York's great historic sites, and a wonderful place to dine, shop, and attend a concert or film.    ",Recommended length of visit: 1-2 hours,40.748928,-73.9813,The Morgan Library & Museum,4.5,1188
35,22,"New York City, NY",-999,-999,40.73469,-74.00541,West Village,4.5,1088
36,28,"1047 Amsterdam Ave., New York City, NY 10025","Description: This cathedral, the world's largest, is entirely hand-crafted.",Recommended length of visit: <1 hour,40.8039,-73.96301,Cathedral Church of Saint John the Divine,4.5,1072
37,14,"1048 5th Ave, New York City, NY 10028-0111",A museum displaying works of art by German and Austrian artists and designers.    ,-999,40.78143,-73.9604,Neue Galerie,4.5,1035
38,15,"234 W. 42nd Street, New York City, NY 10036","Get your selfie sticks ready! Madame Tussauds in Times Square is the only place with no ropes or barriers holding you back from getting photos with your favorite stars! Voted as one of New York's most unique attractions, Madame Tussauds invites you to pose with over 200 figures of internationally renowned musicians, A-list stars, sports legends, world leaders, super heroes and more. With several newly renovated spaces, the world famous wax attraction is bigger and better than ever!    ",Recommended length of visit: 1-2 hours,40.75683,-73.98863,Madame Tussauds New York,4.0,5965
39,53,"Mulberry Street, New York City, NY 10013",Description: Neighborhood west of SoHo famous for Italian restaurants.,-999,40.71914,-73.99733,Little Italy,4.0,2645
40,51,"Wall Street, New York City, NY 10005","The financial heartbeat of the United States, Wall Street is home to the New York Stock Exchange, where visitors can witness the frenetic and wild pace of stock trading.    ",-999,40.70608,-74.00896,Wall Street,4.0,2240
41,45,"W. Park Dr. and W. 72nd St., Central Park, New York City, NY",-999,-999,40.775677,-73.97531,"Strawberry Fields, John Lennon Memorial",4.0,1277
42,47,"405 East 42nd Street, 1st Avenue, New York City, NY 10017","Visitors can learn about the UN's peacekeeping and humanitarian efforts by touring the complex, even when it is in session. Important notice: Because of the new public access regulations and limitations starting June 2013, please also note that tour tickets will NOT be sold on premises and a guided tour ticket for visitors is required to enter the UN Headquarters.    ",-999,40.75055,-73.968414,United Nations Headquarters,4.0,1168
43,42,"14th-17th Street, (Broadway and Park), New York City, NY 10001","Union Square has a year-round greenmarket, where you can sample goods from local farmers. It also has several playgrounds, a lively holiday market, and benches where you can watch a slice of New York go by.    ",Recommended length of visit: More than 3 hours   Fee: No,40.735935,-73.99035,Union Square,4.0,1024
44,21,"1071 Fifth Ave. at 89th St., New York City, NY 10128",The circular Frank Lloyd Wright-designed building is as much of a draw as the museum's collection of modern art.    ,-999,40.783028,-73.959335,Solomon R. Guggenheim Museum,3.5,3828
45,73,"Canal Street to Bayard Street, New York City, NY",Chinese immigrants have brought their traditions and culture to this neighborhood in New York City's Lower East Side.    ,-999,40.718613,-73.99736,Chinatown,3.5,2919
46,62,"26 Broadway, New York City, NY 10004",-999,-999,40.705826,-74.013115,Charging Bull (Wall Street Bull),3.5,1198
47,72,"7th Ave & West 32nd St, New York City, NY 10001",-999,-999,40.75079,-73.99219000000001,Pennsylvania Station,3.5,1031
