,Cleanliness,Comfort,Facilities,Free Wifi,Location,Staff,Value for money,address,avgscore,lat,lng,name,price,total_review
0,8.4,8.3,8.1,6.5,8.4,8.2,7.6,"104-04 Ditmars Boulevard, Queens, NY 11369, United States of America",8.2,40.7522074,-73.8986805081367,LaGuardia Plaza Hotel,4,"1,524"
1,8.3,8.2,7.9,7.9,7.7,8.5,7.5,"39-16 College Point Boulevard, Queens, NY 11354, United States of America",8,40.7416933977985,-73.8669365644455,The Parc Hotel,5,999
2,8.8,8.3,8.1,8.8,7,8,7.5,"112-26 Roosevelt Ave, Queens, NY 11368, United States of America",7.9,40.7232884386659,-73.8789188478158,Best Western Plus LaGuardia Airport Hotel,3,688
3,8,7.9,7.5,7.9,7.8,8,6.9,"138-10 135th Avenue, Queens, NY 11436, United States of America",7.7,40.6657215699411,-73.8067625463009,Crowne Plaza JFK Airport,5,"1,433"
4,7.6,7.4,7.1,5.8,7.7,7.6,6.4,"144-02 135th Avenue, Queens, NY 11436, United States of America",7.3,40.6656066194167,-73.8068282604218,Hilton New York JFK Airport Hotel,5,"1,561"
5,7.1,6.7,6.4,7.5,6.9,6.9,6.5,"15395 Rockaway Boulevard, Queens, NY 11434, United States of America",6.7,40.5558200437859,-73.8410183787346,"Howard Johnson Inn-JFK Airport, Jamaica, Queens, NYC",1,"2,981"
6,7.3,7.2,6.8,8.2,6.7,7.2,7.2,"38-59 12th Street, Queens, NY 11101, United States of America",7.1,40.7320616386659,-74.0428676212654,Howard Johnson Long Island City,2,"4,347"
7,9.2,8.8,8.3,9.1,8.1,8.8,8,"38-28 27th Street, Queens, NY 11101, United States of America",8.5,40.7279864386659,-74.0364851792458,Boro Hotel,5,846
8,7.1,7.1,6.5,7.4,7.2,7.3,6,"135-30 140th Street, Queens, NY 11436, United States of America",6.9,40.6656066194167,-73.815510571003,Radisson JFK Airport,4,"1,346"
9,7.8,7.3,7,7.4,7.4,8,6.9,"14425 153rd Lane, Queens, NY 11434, United States of America",7.4,40.6627400362734,-73.799417764003,Best Western JFK Airport,3,"1,405"
10,8.3,8,8.2,8.7,8,8.3,7.9,"37-06 36th Street, Queens, NY 11101, United States of America",8.1,40.7244999755507,-74.0139943672981,Paper Factory Hotel,5,"1,313"
11,8.2,8.2,7.6,8,8,8,7.2,"144-10 135th Avenue, Queens, NY 11436, United States of America",7.9,40.6656066194167,-73.8070683181285,Hampton Inn NY-JFK Jamaica-Queens,4,"1,321"
12,9.2,8.4,8.1,8.2,8.2,8.6,8.5,"39-12 29th Street, Queens, NY 11101, United States of America",8.5,40.7253678820797,-74.0287488698959,Nesva Hotel - New York City Vista,2,"1,106"
13,8.5,7.9,7.7,8.1,7.7,7.9,7.8,"135-21 37 Avenue, Queens, NY 11354, United States of America",7.9,40.7415485381716,-73.8669365644455,Asiatic Hotel - Flushing,2,"1,094"
14,8.1,8.1,7.8,7.8,6.9,8.1,7.7,"20-07 127th Street, Queens, NY 11356, United States of America",7.8,40.7522074,-73.941943,Hotel de Point,2,"1,094"
15,8.4,8.3,8.1,6.5,8.4,8.2,7.6,"104-04 Ditmars Boulevard, Queens, NY 11369, United States of America",8.2,40.7522074,-73.8986805081367,LaGuardia Plaza Hotel,4,"1,524"
16,8.3,8.2,7.9,7.9,7.7,8.5,7.5,"39-16 College Point Boulevard, Queens, NY 11354, United States of America",8,40.7416933977985,-73.8669365644455,The Parc Hotel,5,999
17,8.8,8.3,8.1,8.8,7,8,7.5,"112-26 Roosevelt Ave, Queens, NY 11368, United States of America",7.9,40.7232884386659,-73.8789188478158,Best Western Plus LaGuardia Airport Hotel,3,688
18,8,7.9,7.5,7.9,7.8,8,6.9,"138-10 135th Avenue, Queens, NY 11436, United States of America",7.7,40.6657215699411,-73.8067625463009,Crowne Plaza JFK Airport,5,"1,433"
19,7.6,7.4,7.1,5.8,7.7,7.6,6.4,"144-02 135th Avenue, Queens, NY 11436, United States of America",7.3,40.6656066194167,-73.8068282604218,Hilton New York JFK Airport Hotel,5,"1,561"
20,7.1,6.7,6.4,7.5,6.9,6.9,6.5,"15395 Rockaway Boulevard, Queens, NY 11434, United States of America",6.7,40.5558200437859,-73.8410183787346,"Howard Johnson Inn-JFK Airport, Jamaica, Queens, NYC",1,"2,981"
21,7.3,7.2,6.8,8.2,6.7,7.2,7.2,"38-59 12th Street, Queens, NY 11101, United States of America",7.1,40.7320616386659,-74.0428676212654,Howard Johnson Long Island City,2,"4,347"
22,9.2,8.8,8.3,9.1,8.1,8.8,8,"38-28 27th Street, Queens, NY 11101, United States of America",8.5,40.7279864386659,-74.0364851792458,Boro Hotel,5,846
23,7.1,7.1,6.5,7.4,7.2,7.3,6,"135-30 140th Street, Queens, NY 11436, United States of America",6.9,40.6656066194167,-73.815510571003,Radisson JFK Airport,4,"1,346"
24,7.8,7.3,7,7.4,7.4,8,6.9,"14425 153rd Lane, Queens, NY 11434, United States of America",7.4,40.6627400362734,-73.799417764003,Best Western JFK Airport,3,"1,405"
25,8.3,8,8.2,8.7,8,8.3,7.9,"37-06 36th Street, Queens, NY 11101, United States of America",8.1,40.7244999755507,-74.0139943672981,Paper Factory Hotel,5,"1,313"
26,8.2,8.2,7.6,8,8,8,7.2,"144-10 135th Avenue, Queens, NY 11436, United States of America",7.9,40.6656066194167,-73.8070683181285,Hampton Inn NY-JFK Jamaica-Queens,4,"1,321"
27,9.2,8.4,8.1,8.2,8.2,8.6,8.5,"39-12 29th Street, Queens, NY 11101, United States of America",8.5,40.7253678820797,-74.0287488698959,Nesva Hotel - New York City Vista,2,"1,106"
28,8.5,7.9,7.7,8.1,7.7,7.9,7.8,"135-21 37 Avenue, Queens, NY 11354, United States of America",7.9,40.7415485381716,-73.8669365644455,Asiatic Hotel - Flushing,2,"1,094"
29,8.1,8.1,7.8,7.8,6.9,8.1,7.7,"20-07 127th Street, Queens, NY 11356, United States of America",7.8,40.7522074,-73.941943,Hotel de Point,2,"1,094"
30,8.4,8.3,8.1,6.5,8.4,8.2,7.6,"104-04 Ditmars Boulevard, Queens, NY 11369, United States of America",8.2,40.7522074,-73.8986805081367,LaGuardia Plaza Hotel,4,"1,524"
31,8.3,8.2,7.9,7.9,7.7,8.5,7.5,"39-16 College Point Boulevard, Queens, NY 11354, United States of America",8,40.7416933977985,-73.8669365644455,The Parc Hotel,5,999
32,8.8,8.3,8.1,8.8,7,8,7.5,"112-26 Roosevelt Ave, Queens, NY 11368, United States of America",7.9,40.7232884386659,-73.8789188478158,Best Western Plus LaGuardia Airport Hotel,3,688
33,8,7.9,7.5,7.9,7.8,8,6.9,"138-10 135th Avenue, Queens, NY 11436, United States of America",7.7,40.6657215699411,-73.8067625463009,Crowne Plaza JFK Airport,5,"1,433"
34,7.6,7.4,7.1,5.8,7.7,7.6,6.4,"144-02 135th Avenue, Queens, NY 11436, United States of America",7.3,40.6656066194167,-73.8068282604218,Hilton New York JFK Airport Hotel,5,"1,561"
35,7.1,6.7,6.4,7.5,6.9,6.9,6.5,"15395 Rockaway Boulevard, Queens, NY 11434, United States of America",6.7,40.5558200437859,-73.8410183787346,"Howard Johnson Inn-JFK Airport, Jamaica, Queens, NYC",1,"2,981"
36,7.3,7.2,6.8,8.2,6.7,7.2,7.2,"38-59 12th Street, Queens, NY 11101, United States of America",7.1,40.7320616386659,-74.0428676212654,Howard Johnson Long Island City,2,"4,347"
37,9.2,8.8,8.3,9.1,8.1,8.8,8,"38-28 27th Street, Queens, NY 11101, United States of America",8.5,40.7279864386659,-74.0364851792458,Boro Hotel,5,846
38,7.1,7.1,6.5,7.4,7.2,7.3,6,"135-30 140th Street, Queens, NY 11436, United States of America",6.9,40.6656066194167,-73.815510571003,Radisson JFK Airport,4,"1,346"
39,7.8,7.3,7,7.4,7.4,8,6.9,"14425 153rd Lane, Queens, NY 11434, United States of America",7.4,40.6627400362734,-73.799417764003,Best Western JFK Airport,3,"1,405"
40,8.3,8,8.2,8.7,8,8.3,7.9,"37-06 36th Street, Queens, NY 11101, United States of America",8.1,40.7244999755507,-74.0139943672981,Paper Factory Hotel,5,"1,313"
41,8.2,8.2,7.6,8,8,8,7.2,"144-10 135th Avenue, Queens, NY 11436, United States of America",7.9,40.6656066194167,-73.8070683181285,Hampton Inn NY-JFK Jamaica-Queens,4,"1,321"
42,9.2,8.4,8.1,8.2,8.2,8.6,8.5,"39-12 29th Street, Queens, NY 11101, United States of America",8.5,40.7253678820797,-74.0287488698959,Nesva Hotel - New York City Vista,2,"1,106"
43,8.5,7.9,7.7,8.1,7.7,7.9,7.8,"135-21 37 Avenue, Queens, NY 11354, United States of America",7.9,40.7415485381716,-73.8669365644455,Asiatic Hotel - Flushing,2,"1,094"
44,8.1,8.1,7.8,7.8,6.9,8.1,7.7,"20-07 127th Street, Queens, NY 11356, United States of America",7.8,40.7522074,-73.941943,Hotel de Point,2,"1,094"
45,8.4,8.3,8.1,6.5,8.4,8.2,7.6,"104-04 Ditmars Boulevard, Queens, NY 11369, United States of America",8.2,40.7522074,-73.8986805081367,LaGuardia Plaza Hotel,4,"1,524"
46,8.3,8.2,7.9,7.9,7.7,8.5,7.5,"39-16 College Point Boulevard, Queens, NY 11354, United States of America",8,40.7416933977985,-73.8669365644455,The Parc Hotel,5,999
47,8.8,8.3,8.1,8.8,7,8,7.5,"112-26 Roosevelt Ave, Queens, NY 11368, United States of America",7.9,40.7232884386659,-73.8789188478158,Best Western Plus LaGuardia Airport Hotel,3,688
48,8,7.9,7.5,7.9,7.8,8,6.9,"138-10 135th Avenue, Queens, NY 11436, United States of America",7.7,40.6657215699411,-73.8067625463009,Crowne Plaza JFK Airport,5,"1,433"
49,7.6,7.4,7.1,5.8,7.7,7.6,6.4,"144-02 135th Avenue, Queens, NY 11436, United States of America",7.3,40.6656066194167,-73.8068282604218,Hilton New York JFK Airport Hotel,5,"1,561"
50,7.1,6.7,6.4,7.5,6.9,6.9,6.5,"15395 Rockaway Boulevard, Queens, NY 11434, United States of America",6.7,40.5558200437859,-73.8410183787346,"Howard Johnson Inn-JFK Airport, Jamaica, Queens, NYC",1,"2,981"
51,7.3,7.2,6.8,8.2,6.7,7.2,7.2,"38-59 12th Street, Queens, NY 11101, United States of America",7.1,40.7320616386659,-74.0428676212654,Howard Johnson Long Island City,2,"4,347"
52,9.2,8.8,8.3,9.1,8.1,8.8,8,"38-28 27th Street, Queens, NY 11101, United States of America",8.5,40.7279864386659,-74.0364851792458,Boro Hotel,5,846
53,7.1,7.1,6.5,7.4,7.2,7.3,6,"135-30 140th Street, Queens, NY 11436, United States of America",6.9,40.6656066194167,-73.815510571003,Radisson JFK Airport,4,"1,346"
54,7.8,7.3,7,7.4,7.4,8,6.9,"14425 153rd Lane, Queens, NY 11434, United States of America",7.4,40.6627400362734,-73.799417764003,Best Western JFK Airport,3,"1,405"
55,8.3,8,8.2,8.7,8,8.3,7.9,"37-06 36th Street, Queens, NY 11101, United States of America",8.1,40.7244999755507,-74.0139943672981,Paper Factory Hotel,5,"1,313"
56,8.2,8.2,7.6,8,8,8,7.2,"144-10 135th Avenue, Queens, NY 11436, United States of America",7.9,40.6656066194167,-73.8070683181285,Hampton Inn NY-JFK Jamaica-Queens,4,"1,321"
57,9.2,8.4,8.1,8.2,8.2,8.6,8.5,"39-12 29th Street, Queens, NY 11101, United States of America",8.5,40.7253678820797,-74.0287488698959,Nesva Hotel - New York City Vista,2,"1,106"
58,8.5,7.9,7.7,8.1,7.7,7.9,7.8,"135-21 37 Avenue, Queens, NY 11354, United States of America",7.9,40.7415485381716,-73.8669365644455,Asiatic Hotel - Flushing,2,"1,094"
59,8.1,8.1,7.8,7.8,6.9,8.1,7.7,"20-07 127th Street, Queens, NY 11356, United States of America",7.8,40.7522074,-73.941943,Hotel de Point,2,"1,094"
60,8.4,8.3,8.1,6.5,8.4,8.2,7.6,"104-04 Ditmars Boulevard, Queens, NY 11369, United States of America",8.2,40.7522074,-73.8986805081367,LaGuardia Plaza Hotel,4,"1,524"
61,8.3,8.2,7.9,7.9,7.7,8.5,7.5,"39-16 College Point Boulevard, Queens, NY 11354, United States of America",8,40.7416933977985,-73.8669365644455,The Parc Hotel,5,999
62,8.8,8.3,8.1,8.8,7,8,7.5,"112-26 Roosevelt Ave, Queens, NY 11368, United States of America",7.9,40.7232884386659,-73.8789188478158,Best Western Plus LaGuardia Airport Hotel,3,688
63,8,7.9,7.5,7.9,7.8,8,6.9,"138-10 135th Avenue, Queens, NY 11436, United States of America",7.7,40.6657215699411,-73.8067625463009,Crowne Plaza JFK Airport,5,"1,433"
64,7.6,7.4,7.1,5.8,7.7,7.6,6.4,"144-02 135th Avenue, Queens, NY 11436, United States of America",7.3,40.6656066194167,-73.8068282604218,Hilton New York JFK Airport Hotel,5,"1,561"
65,7.1,6.7,6.4,7.5,6.9,6.9,6.5,"15395 Rockaway Boulevard, Queens, NY 11434, United States of America",6.7,40.5558200437859,-73.8410183787346,"Howard Johnson Inn-JFK Airport, Jamaica, Queens, NYC",1,"2,981"
66,7.3,7.2,6.8,8.2,6.7,7.2,7.2,"38-59 12th Street, Queens, NY 11101, United States of America",7.1,40.7320616386659,-74.0428676212654,Howard Johnson Long Island City,2,"4,347"
67,9.2,8.8,8.3,9.1,8.1,8.8,8,"38-28 27th Street, Queens, NY 11101, United States of America",8.5,40.7279864386659,-74.0364851792458,Boro Hotel,5,846
68,7.1,7.1,6.5,7.4,7.2,7.3,6,"135-30 140th Street, Queens, NY 11436, United States of America",6.9,40.6656066194167,-73.815510571003,Radisson JFK Airport,4,"1,346"
69,7.8,7.3,7,7.4,7.4,8,6.9,"14425 153rd Lane, Queens, NY 11434, United States of America",7.4,40.6627400362734,-73.799417764003,Best Western JFK Airport,3,"1,405"
70,8.3,8,8.2,8.7,8,8.3,7.9,"37-06 36th Street, Queens, NY 11101, United States of America",8.1,40.7244999755507,-74.0139943672981,Paper Factory Hotel,5,"1,313"
71,8.2,8.2,7.6,8,8,8,7.2,"144-10 135th Avenue, Queens, NY 11436, United States of America",7.9,40.6656066194167,-73.8070683181285,Hampton Inn NY-JFK Jamaica-Queens,4,"1,321"
72,9.2,8.4,8.1,8.2,8.2,8.6,8.5,"39-12 29th Street, Queens, NY 11101, United States of America",8.5,40.7253678820797,-74.0287488698959,Nesva Hotel - New York City Vista,2,"1,106"
73,8.5,7.9,7.7,8.1,7.7,7.9,7.8,"135-21 37 Avenue, Queens, NY 11354, United States of America",7.9,40.7415485381716,-73.8669365644455,Asiatic Hotel - Flushing,2,"1,094"
74,8.1,8.1,7.8,7.8,6.9,8.1,7.7,"20-07 127th Street, Queens, NY 11356, United States of America",7.8,40.7522074,-73.941943,Hotel de Point,2,"1,094"
75,8.4,8.3,8.1,6.5,8.4,8.2,7.6,"104-04 Ditmars Boulevard, Queens, NY 11369, United States of America",8.2,40.7522074,-73.8986805081367,LaGuardia Plaza Hotel,4,"1,524"
76,8.3,8.2,7.9,7.9,7.7,8.5,7.5,"39-16 College Point Boulevard, Queens, NY 11354, United States of America",8,40.7416933977985,-73.8669365644455,The Parc Hotel,5,999
77,8.8,8.3,8.1,8.8,7,8,7.5,"112-26 Roosevelt Ave, Queens, NY 11368, United States of America",7.9,40.7232884386659,-73.8789188478158,Best Western Plus LaGuardia Airport Hotel,3,688
78,8,7.9,7.5,7.9,7.8,8,6.9,"138-10 135th Avenue, Queens, NY 11436, United States of America",7.7,40.6657215699411,-73.8067625463009,Crowne Plaza JFK Airport,5,"1,433"
79,7.6,7.4,7.1,5.8,7.7,7.6,6.4,"144-02 135th Avenue, Queens, NY 11436, United States of America",7.3,40.6656066194167,-73.8068282604218,Hilton New York JFK Airport Hotel,5,"1,561"
80,7.1,6.7,6.4,7.5,6.9,6.9,6.5,"15395 Rockaway Boulevard, Queens, NY 11434, United States of America",6.7,40.5558200437859,-73.8410183787346,"Howard Johnson Inn-JFK Airport, Jamaica, Queens, NYC",1,"2,981"
81,7.3,7.2,6.8,8.2,6.7,7.2,7.2,"38-59 12th Street, Queens, NY 11101, United States of America",7.1,40.7320616386659,-74.0428676212654,Howard Johnson Long Island City,2,"4,347"
82,9.2,8.8,8.3,9.1,8.1,8.8,8,"38-28 27th Street, Queens, NY 11101, United States of America",8.5,40.7279864386659,-74.0364851792458,Boro Hotel,5,846
83,7.1,7.1,6.5,7.4,7.2,7.3,6,"135-30 140th Street, Queens, NY 11436, United States of America",6.9,40.6656066194167,-73.815510571003,Radisson JFK Airport,4,"1,346"
84,7.8,7.3,7,7.4,7.4,8,6.9,"14425 153rd Lane, Queens, NY 11434, United States of America",7.4,40.6627400362734,-73.799417764003,Best Western JFK Airport,3,"1,405"
85,8.3,8,8.2,8.7,8,8.3,7.9,"37-06 36th Street, Queens, NY 11101, United States of America",8.1,40.7244999755507,-74.0139943672981,Paper Factory Hotel,5,"1,313"
86,8.2,8.2,7.6,8,8,8,7.2,"144-10 135th Avenue, Queens, NY 11436, United States of America",7.9,40.6656066194167,-73.8070683181285,Hampton Inn NY-JFK Jamaica-Queens,4,"1,321"
87,9.2,8.4,8.1,8.2,8.2,8.6,8.5,"39-12 29th Street, Queens, NY 11101, United States of America",8.5,40.7253678820797,-74.0287488698959,Nesva Hotel - New York City Vista,2,"1,106"
88,8.5,7.9,7.7,8.1,7.7,7.9,7.8,"135-21 37 Avenue, Queens, NY 11354, United States of America",7.9,40.7415485381716,-73.8669365644455,Asiatic Hotel - Flushing,2,"1,094"
89,8.1,8.1,7.8,7.8,6.9,8.1,7.7,"20-07 127th Street, Queens, NY 11356, United States of America",7.8,40.7522074,-73.941943,Hotel de Point,2,"1,094"
90,8.4,8.3,8.1,6.5,8.4,8.2,7.6,"104-04 Ditmars Boulevard, Queens, NY 11369, United States of America",8.2,40.7522074,-73.8986805081367,LaGuardia Plaza Hotel,4,"1,524"
91,8.3,8.2,7.9,7.9,7.7,8.5,7.5,"39-16 College Point Boulevard, Queens, NY 11354, United States of America",8,40.7416933977985,-73.8669365644455,The Parc Hotel,5,999
92,8.8,8.3,8.1,8.8,7,8,7.5,"112-26 Roosevelt Ave, Queens, NY 11368, United States of America",7.9,40.7232884386659,-73.8789188478158,Best Western Plus LaGuardia Airport Hotel,3,688
93,8,7.9,7.5,7.9,7.8,8,6.9,"138-10 135th Avenue, Queens, NY 11436, United States of America",7.7,40.6657215699411,-73.8067625463009,Crowne Plaza JFK Airport,5,"1,433"
94,7.6,7.4,7.1,5.8,7.7,7.6,6.4,"144-02 135th Avenue, Queens, NY 11436, United States of America",7.3,40.6656066194167,-73.8068282604218,Hilton New York JFK Airport Hotel,5,"1,561"
95,7.1,6.7,6.4,7.5,6.9,6.9,6.5,"15395 Rockaway Boulevard, Queens, NY 11434, United States of America",6.7,40.5558200437859,-73.8410183787346,"Howard Johnson Inn-JFK Airport, Jamaica, Queens, NYC",1,"2,981"
96,7.3,7.2,6.8,8.2,6.7,7.2,7.2,"38-59 12th Street, Queens, NY 11101, United States of America",7.1,40.7320616386659,-74.0428676212654,Howard Johnson Long Island City,2,"4,347"
97,9.2,8.8,8.3,9.1,8.1,8.8,8,"38-28 27th Street, Queens, NY 11101, United States of America",8.5,40.7279864386659,-74.0364851792458,Boro Hotel,5,846
98,7.1,7.1,6.5,7.4,7.2,7.3,6,"135-30 140th Street, Queens, NY 11436, United States of America",6.9,40.6656066194167,-73.815510571003,Radisson JFK Airport,4,"1,346"
99,7.8,7.3,7,7.4,7.4,8,6.9,"14425 153rd Lane, Queens, NY 11434, United States of America",7.4,40.6627400362734,-73.799417764003,Best Western JFK Airport,3,"1,405"
100,8.3,8,8.2,8.7,8,8.3,7.9,"37-06 36th Street, Queens, NY 11101, United States of America",8.1,40.7244999755507,-74.0139943672981,Paper Factory Hotel,5,"1,313"
101,8.2,8.2,7.6,8,8,8,7.2,"144-10 135th Avenue, Queens, NY 11436, United States of America",7.9,40.6656066194167,-73.8070683181285,Hampton Inn NY-JFK Jamaica-Queens,4,"1,321"
102,9.2,8.4,8.1,8.2,8.2,8.6,8.5,"39-12 29th Street, Queens, NY 11101, United States of America",8.5,40.7253678820797,-74.0287488698959,Nesva Hotel - New York City Vista,2,"1,106"
103,8.5,7.9,7.7,8.1,7.7,7.9,7.8,"135-21 37 Avenue, Queens, NY 11354, United States of America",7.9,40.7415485381716,-73.8669365644455,Asiatic Hotel - Flushing,2,"1,094"
104,8.1,8.1,7.8,7.8,6.9,8.1,7.7,"20-07 127th Street, Queens, NY 11356, United States of America",7.8,40.7522074,-73.941943,Hotel de Point,2,"1,094"
105,8.4,8.3,8.1,6.5,8.4,8.2,7.6,"104-04 Ditmars Boulevard, Queens, NY 11369, United States of America",8.2,40.7522074,-73.8986805081367,LaGuardia Plaza Hotel,4,"1,524"
106,8.3,8.2,7.9,7.9,7.7,8.5,7.5,"39-16 College Point Boulevard, Queens, NY 11354, United States of America",8,40.7416933977985,-73.8669365644455,The Parc Hotel,5,999
107,8.8,8.3,8.1,8.8,7,8,7.5,"112-26 Roosevelt Ave, Queens, NY 11368, United States of America",7.9,40.7232884386659,-73.8789188478158,Best Western Plus LaGuardia Airport Hotel,3,688
108,8,7.9,7.5,7.9,7.8,8,6.9,"138-10 135th Avenue, Queens, NY 11436, United States of America",7.7,40.6657215699411,-73.8067625463009,Crowne Plaza JFK Airport,5,"1,433"
109,7.6,7.4,7.1,5.8,7.7,7.6,6.4,"144-02 135th Avenue, Queens, NY 11436, United States of America",7.3,40.6656066194167,-73.8068282604218,Hilton New York JFK Airport Hotel,5,"1,561"
110,7.1,6.7,6.4,7.5,6.9,6.9,6.5,"15395 Rockaway Boulevard, Queens, NY 11434, United States of America",6.7,40.5558200437859,-73.8410183787346,"Howard Johnson Inn-JFK Airport, Jamaica, Queens, NYC",1,"2,981"
111,7.3,7.2,6.8,8.2,6.7,7.2,7.2,"38-59 12th Street, Queens, NY 11101, United States of America",7.1,40.7320616386659,-74.0428676212654,Howard Johnson Long Island City,2,"4,347"
112,9.2,8.8,8.3,9.1,8.1,8.8,8,"38-28 27th Street, Queens, NY 11101, United States of America",8.5,40.7279864386659,-74.0364851792458,Boro Hotel,5,846
113,7.1,7.1,6.5,7.4,7.2,7.3,6,"135-30 140th Street, Queens, NY 11436, United States of America",6.9,40.6656066194167,-73.815510571003,Radisson JFK Airport,4,"1,346"
114,7.8,7.3,7,7.4,7.4,8,6.9,"14425 153rd Lane, Queens, NY 11434, United States of America",7.4,40.6627400362734,-73.799417764003,Best Western JFK Airport,3,"1,405"
115,8.3,8,8.2,8.7,8,8.3,7.9,"37-06 36th Street, Queens, NY 11101, United States of America",8.1,40.7244999755507,-74.0139943672981,Paper Factory Hotel,5,"1,313"
116,8.2,8.2,7.6,8,8,8,7.2,"144-10 135th Avenue, Queens, NY 11436, United States of America",7.9,40.6656066194167,-73.8070683181285,Hampton Inn NY-JFK Jamaica-Queens,4,"1,321"
117,9.2,8.4,8.1,8.2,8.2,8.6,8.5,"39-12 29th Street, Queens, NY 11101, United States of America",8.5,40.7253678820797,-74.0287488698959,Nesva Hotel - New York City Vista,2,"1,106"
118,8.5,7.9,7.7,8.1,7.7,7.9,7.8,"135-21 37 Avenue, Queens, NY 11354, United States of America",7.9,40.7415485381716,-73.8669365644455,Asiatic Hotel - Flushing,2,"1,094"
119,8.1,8.1,7.8,7.8,6.9,8.1,7.7,"20-07 127th Street, Queens, NY 11356, United States of America",7.8,40.7522074,-73.941943,Hotel de Point,2,"1,094"
